id,message,num_users,category
198,View.Web,17,Actions
199,File.CloseAllButThis,66,Actions
200,Debug.BreakAll,69,Debug
201,View.Open,53,Actions
202,File.TfsUndoCheckout,42,CMO
203,View.Refresh,53,Actions
204,Build.QueueNewBuild,33,Build
205,View.No Symbols Loaded,30,NULL
206,Edit.MoveSelectedLinesDown,12,NULL
207,Debug.EnableBreakpoint,22,Debug
208,View.Code Definition Window,10,NULL
209,Edit.PeekDefinition,31,Navigation.Structured
210,ClassViewContextMenus.ClassViewProject.TfsContextUndoCheckout,48,View
211,ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextUndoCheckout,48,View
212,View.BlazeWindow,70,Tools.Blaze
213,Tools.NavHistoryItemDoubleClick2,8,Tools.Prodet
214,View.Program.cs,10,NULL
215,View.Autos,49,NULL
216,Edit.NextHighlightedReference,24,Edit
217,View.NavigateForward,46,Navigation.Unstructured
218,CodeCoverage.ShowCodeCoverageColoring,7,Test
219,View.IntelliTrace,27,Debug
220,SQL.TSqlEditorExecuteQuery,8,Data
221,ArchitectureDesigner.Zoom,19,Design
222,ClassViewContextMenus.ClassViewProject.RunCodeAnalysisonSelection,14,View
223,ClassViewContextMenus.ClassViewProject.RunCodeAnalysis,14,View
224,ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextCheckIn,19,NULL
225,Edit.LineDelete,7,Edit
226,TestExplorer.RunAllTestsInContext,27,Test
227,ReSharper.ReSharper_ReSharper_UnitTest_RunContext,14,Tools
228,View.Class View,75,Navigation.Unstructured
229,Edit.ScrollLineDown,40,Navigation.Unstructured
230,Project.UpdateSolution,24,Actions
231,ReSharper.ReSharper_ReSharper_UnitTest_DebugContext,9,Tools
232,View.No Source Available,28,NULL
233,EditorContextMenus.CodeWindow.ViewCallHierarchy,39,Navigation.Structured
234,Build.BatchBuild,7,Build
235,Project.ManageNuGetPackages,36,Actions
236,View.CodeMaid Spade,21,NULL
237,Build.RebuildSelection,21,Build
238,Debug.DeleteAllBreakpoints,38,Debug
239,ReSharper.ReSharper_GotoFile,11,NULL
240,ClassViewContextMenus.ClassViewProject.Clean,58,View
241,View.References,22,NULL
242,Edit.PageUpExtend,28,Navigation.Unstructured
243,View.Code Metrics Results,24,NULL
244,View.Task List,20,NULL
245,View.NavigationHistoryWindow,11,Tools.Prodet
246,View.SQL Server Object Explorer,13,NULL
247,TeamFoundationContextMenus.MergeContextMenu.AcceptMerge,33,CMO
248,File.AddNewProject,54,Actions
249,ClassViewContextMenus.ClassViewProject.Publish,15,View
250,Debug.DisableAllBreakpoints,26,Debug
251,View.Package Manager Console,32,NULL
252,View.Notifications,41,NULL
253,Project.RunCustomTool,15,Test
254,View.TfsSourceControlExplorer,16,Actions
255,EditorContextMenus.CodeWindow.Breakpoint.BreakpointCondition,38,Debug
256,ReSharper.ReSharper_CleanupCode,11,NULL
257,SolutionExplorer.SyncWithActiveDocument,22,Actions
258,Tools.BlazeStats,61,NULL
259,EditorContextMenus.CodeWindow.AddComment,10,Data
260,ReSharper.ReSharper_DuplicateText,19,NULL
261,Window.Hide,37,Actions
262,Edit.ScrollLineUp,37,Navigation.Unstructured
263,Debug.RunToCursor,32,Debug
